Freq.	V(vo)
Step Information: 1=1  (Run: 1/11)
8.51138038202372e+000	(2.87375601915337e+001dB,1.72059049855808e+002°)
8.70963589956076e+000	(2.87336556235448e+001dB,1.71876522579016e+002°)
8.91250938133741e+000	(2.87295707979529e+001dB,1.71689915400668e+002°)
9.12010839355905e+000	(2.87252975743906e+001dB,1.71499145221887e+002°)
9.33254300796986e+000	(2.87208274619655e+001dB,1.71304127820606e+002°)
9.54992586021431e+000	(2.87161516057743e+001dB,1.71104777878691e+002°)
9.77237220955806e+000	(2.87112607730512e+001dB,1.70901009012937e+002°)
9.99999999999995e+000	(2.87061453389562e+001dB,1.70692733810229e+002°)
1.02329299228075e+001	(2.87007952720110e+001dB,1.70479863867104e+002°)
1.04712854805089e+001	(2.86952001191921e+001dB,1.70262309834030e+002°)
1.07151930523760e+001	(2.86893489906934e+001dB,1.70039981464669e+002°)
1.09647819614318e+001	(2.86832305443738e+001dB,1.69812787670459e+002°)
1.12201845430196e+001	(2.86768329699073e+001dB,1.69580636580803e+002°)
1.14815362149688e+001	(2.86701439726567e+001dB,1.69343435609214e+002°)
1.17489755493952e+001	(2.86631507572964e+001dB,1.69101091525749e+002°)
1.20226443461741e+001	(2.86558400112112e+001dB,1.68853510536066e+002°)
1.23026877081237e+001	(2.86481978877054e+001dB,1.68600598367476e+002°)
1.25892541179416e+001	(2.86402099890573e+001dB,1.68342260362342e+002°)
1.28824955169313e+001	(2.86318613494627e+001dB,1.68078401579195e+002°)
1.31825673855640e+001	(2.86231364179115e+001dB,1.67808926901940e+002°)
1.34896288259165e+001	(2.86140190410524e+001dB,1.67533741157523e+002°)
