time	V(vin)	V(vout)
7.188701107086197e-002	-5.590433e-001	5.678005e-001
7.214180252093864e-002	-6.227465e-001	6.315037e-001
7.239659397101532e-002	-6.826975e-001	6.914561e-001
7.265138542109199e-002	-7.388963e-001	7.476577e-001
7.290617687116867e-002	-7.913429e-001	8.001084e-001
7.353364163383741e-002	-8.962855e-001	9.050703e-001
7.416110639650614e-002	-9.642994e-001	9.731079e-001
7.478857115917488e-002	-9.953845e-001	1.004221e+000
7.541603592184361e-002	-9.895408e-001	9.984101e-001
7.604350068451235e-002	-9.467684e-001	9.556747e-001
7.667096544718108e-002	-8.670672e-001	8.760150e-001
7.729843020984982e-002	-7.504371e-001	7.594309e-001
7.754082697324269e-002	-6.970829e-001	7.060933e-001
7.778322373663557e-002	-6.405616e-001	6.495881e-001
7.802562050002844e-002	-5.808732e-001	5.899154e-001
7.826801726342131e-002	-5.180177e-001	5.270752e-001
7.851041402681418e-002	-4.519951e-001	4.610674e-001
7.875281079020706e-002	-3.828054e-001	3.918921e-001
7.899520755359993e-002	-3.104486e-001	3.195492e-001
7.912643313953739e-002	-2.708346e-001	2.799424e-001
7.925765872547487e-002	-2.309316e-001	2.400464e-001
7.938888431141233e-002	-1.907396e-001	1.998610e-001
7.952010989734981e-002	-1.502586e-001	1.593864e-001
7.965133548328728e-002	-1.094885e-001	1.186225e-001
7.978256106922475e-002	-6.842947e-002	7.756937e-002
7.991378665516222e-002	-2.708141e-002	3.622694e-002
8.002059817859969e-002	6.471063e-003	2.678821e-003
8.027661409704126e-002	8.679155e-002	-7.761972e-002
8.027809253166056e-002	8.725425e-002	-7.741746e-002
8.027957096627984e-002	8.771693e-002	-7.721494e-002
8.028104940089914e-002	8.817960e-002	-7.701216e-002
8.028252783551843e-002	8.864224e-002	-7.680911e-002
8.028400627013772e-002	8.910487e-002	-7.660580e-002
8.028548470475701e-002	8.956747e-002	-7.640224e-002
8.028696313937631e-002	9.003006e-002	-7.619841e-002
8.028700127408268e-002	9.004200e-002	-7.628766e-002
8.028706772416683e-002	9.006278e-002	-7.663141e-002
8.028713316294282e-002	9.008326e-002	-7.697807e-002
